kommune,k1to5,men_muni_pct,men_hed_share,workforce_mwr,income_mwr,ptwork_r,ffquota_share,busbal_lev,pubsec_bal,privsec_bal,leader_dist,secscho_bal
Siljan,0.92,0.82,0.63,0.96,0.65,0.27,0.73,0.51,0.48,0.66,0.59,0.68
Bamble,0.9,0.67,0.79,0.9,0.62,0.36,0.61,0.53,0.45,0.68,0.61,0.65
Kragerø,0.95,0.69,0.76,0.94,0.68,0.41,0.61,0.55,0.53,0.68,0.67,0.66
Drangedal,0.89,0.57,0.5,0.93,0.65,0.3,0.49,0.41,0.43,0.63,0.6,0.63
Nome,0.87,0.76,0.67,0.96,0.7,0.37,0.71,0.47,0.48,0.54,0.69,0.59
Bø (Telem.),0.93,0.8,0.73,0.99,0.74,0.46,0.67,0.62,0.65,0.74,0.78,0.66
Sauherad,0.84,0.62,0.73,0.9,0.69,0.49,0.75,0.55,0.56,0.67,0.62,0.64
Tinn,0.99,0.8,0.68,0.99,0.75,0.38,0.69,0.49,0.46,0.62,0.79,0.61
Hjartdal,0.94,0.35,0.59,0.94,0.65,0.25,0.8,0.42,0.37,0.52,0.63,0.54
Seljord,0.91,0.76,0.68,0.95,0.66,0.32,0.79,0.53,0.44,0.65,0.83,0.73
Kviteseid,0.88,0.67,0.66,0.93,0.7,0.36,0.8,0.51,0.52,0.63,0.68,0.64
Nissedal,0.9,0.47,0.59,0.96,0.69,0.29,0.69,0.44,0.51,0.55,0.83,0.63
Fyresdal,0.82,0.82,0.59,0.98,0.68,0.33,0.74,0.43,0.42,0.51,0.74,0.58
Tokke,0.95,0.86,0.61,0.99,0.71,0.34,0.87,0.49,0.52,0.54,0.8,0.59
Vinje,0.89,0.64,0.58,0.96,0.65,0.34,0.72,0.45,0.46,0.6,0.65,0.59
Risør,0.82,0.76,0.77,0.92,0.64,0.44,0.66,0.53,0.54,0.68,0.72,0.71
Grimstad,0.95,0.74,0.83,0.94,0.6,0.38,0.68,0.6,0.62,0.74,0.6,0.68
Arendal,0.91,0.82,0.83,0.93,0.66,0.38,0.63,0.6,0.6,0.74,0.64,0.68
Gjerstad,0.94,0.59,0.48,0.9,0.68,0.34,0.76,0.44,0.44,0.68,0.65,0.6
Vegårshei,0.93,0.67,0.57,0.98,0.67,0.36,0.76,0.42,0.41,0.6,0.71,0.72
Tvedestrand,0.95,0.88,0.74,0.9,0.61,0.41,0.69,0.53,0.51,0.67,0.65,0.67
Froland,0.89,0.74,0.66,0.91,0.65,0.34,0.68,0.49,0.53,0.67,0.51,0.61
Lillesand,0.88,0.67,0.8,0.91,0.61,0.37,0.72,0.57,0.55,0.7,0.62,0.68
Birkenes,0.9,0.38,0.71,0.9,0.62,0.3,0.78,0.52,0.54,0.67,0.6,0.63
Åmli,0.88,0.71,0.61,0.91,0.77,0.35,0.66,0.48,0.57,0.63,0.75,0.66
Iveland,0.95,0.71,0.55,0.67,0.64,0.39,0.66,0.49,0.42,0.6,1,0.58
Evje og Hornnes,0.85,0.67,0.68,0.91,0.67,0.34,0.58,0.53,0.55,0.7,0.7,0.64
Bygland,1.13,0.8,0.64,0.99,0.75,0.44,0.86,0.49,0.6,0.55,0.97,0.64
Valle,0.91,0.8,0.63,0.96,0.69,0.3,0.5,0.48,0.5,0.55,0.73,0.68
Bykle,0.85,0.62,0.76,0.99,0.6,0.4,0.86,0.6,0.61,0.63,0.82,0.69
Kristiansand,0.9,0.83,0.88,0.93,0.64,0.4,0.69,0.64,0.63,0.75,0.64,0.71
Mandal,0.92,0.8,0.75,0.91,0.63,0.36,0.7,0.56,0.52,0.72,0.65,0.68
Farsund,0.89,0.62,0.71,0.91,0.59,0.31,0.68,0.44,0.44,0.67,0.69,0.63
Flekkefjord,0.9,0.74,0.69,0.94,0.64,0.44,0.77,0.45,0.49,0.62,0.65,0.67
Vennesla,0.92,0.81,0.65,0.91,0.62,0.27,0.71,0.51,0.44,0.67,0.56,0.62
Songdalen,0.81,0.8,0.62,0.9,0.67,0.34,0.63,0.52,0.45,0.64,0.51,0.6
Søgne,0.85,0.59,0.74,0.91,0.58,0.33,0.69,0.54,0.54,0.7,0.54,0.65
Marnardal,0.95,0.86,0.53,0.9,0.61,0.32,0.76,0.42,0.44,0.51,0.48,0.6
Åseral,0.9,0.59,0.49,0.98,0.61,0.27,0.61,0.34,0.39,0.49,0.71,0.51
Audnedal,0.82,0.71,0.55,0.88,0.61,0.33,0.83,0.39,0.43,0.45,0.8,0.53
Lindesnes,0.83,0.57,0.68,0.91,0.59,0.36,0.63,0.47,0.39,0.65,0.62,0.67
Lyngdal,0.86,0.62,0.68,0.92,0.62,0.37,0.68,0.52,0.44,0.72,0.56,0.64
Hægebostad,0.8,0.67,0.56,0.94,0.6,0.38,0.76,0.38,0.35,0.52,0.5,0.56
Kvinesdal,0.9,0.74,0.67,0.96,0.64,0.35,0.71,0.41,0.39,0.57,0.59,0.61
Sirdal,0.94,0.63,0.63,1,0.63,0.28,0.79,0.46,0.53,0.56,0.61,0.64
Eigersund,0.9,0.9,0.68,0.91,0.58,0.35,0.7,0.51,0.48,0.68,0.57,0.61
Sandnes,0.88,0.82,0.8,0.92,0.59,0.41,0.73,0.59,0.5,0.73,0.65,0.66
Stavanger,0.89,0.78,0.9,0.92,0.59,0.44,0.73,0.64,0.55,0.76,0.66,0.71
Haugesund,0.92,0.69,0.78,0.94,0.66,0.38,0.66,0.57,0.54,0.72,0.67,0.68
Sokndal,0.81,0.38,0.54,0.94,0.56,0.25,0.69,0.41,0.38,0.67,0.7,0.49
Lund,0.93,0.95,0.68,0.93,0.62,0.46,0.69,0.49,0.44,0.72,0.58,0.62
Bjerkreim,0.85,0.94,0.51,0.96,0.6,0.42,0.74,0.5,0.41,0.69,0.71,0.59
Hå,0.81,0.61,0.56,0.93,0.61,0.47,0.76,0.53,0.44,0.68,0.6,0.59
Klepp,0.93,0.9,0.66,0.9,0.59,0.41,0.75,0.55,0.41,0.71,0.59,0.62
Time,0.87,0.67,0.72,0.92,0.6,0.41,0.73,0.57,0.49,0.7,0.67,0.65
Gjesdal,0.86,0.81,0.65,0.92,0.6,0.43,0.71,0.58,0.45,0.72,0.59,0.62
Sola,0.97,0.83,0.82,0.92,0.54,0.37,0.71,0.6,0.48,0.76,0.61,0.67
Randaberg,0.9,0.89,0.71,0.91,0.56,0.4,0.75,0.56,0.46,0.71,0.58,0.67
Forsand,0.9,0.47,0.44,0.92,0.64,0.31,0.73,0.4,0.39,0.55,0.73,0.57
Strand,0.88,0.55,0.64,0.93,0.55,0.35,0.75,0.46,0.4,0.68,0.57,0.61
Hjelmeland,0.87,0.53,0.56,0.96,0.62,0.5,0.67,0.4,0.39,0.52,0.55,0.66
Suldal,0.9,0.84,0.63,0.97,0.68,0.34,0.82,0.43,0.45,0.57,0.69,0.63
Sauda,0.94,0.63,0.66,0.96,0.64,0.24,0.67,0.39,0.42,0.58,0.67,0.6
Finnøy,0.84,0.67,0.58,0.95,0.59,0.47,0.72,0.5,0.45,0.64,0.63,0.68
Rennesøy,0.91,0.76,0.59,0.92,0.58,0.41,0.77,0.5,0.37,0.62,0.66,0.58
Kvitsøy,0.96,0.93,0.5,0.87,0.61,0.31,0.4,0.34,0.28,0.47,0.67,0.53
Bokn,0.85,0.71,0.51,0.96,0.59,0.13,0.64,0.4,0.39,0.61,0.8,0.58
Tysvær,0.89,0.83,0.66,0.91,0.62,0.31,0.78,0.48,0.41,0.64,0.58,0.61
Karmøy,0.9,0.49,0.7,0.91,0.57,0.26,0.71,0.46,0.44,0.69,0.64,0.6
Utsira,1,0.91,0.62,0.99,0.59,0.14,0.8,0.42,0.58,0.39,0.55,0.8
Vindafjord,0.85,0.72,0.59,0.95,0.6,0.36,0.74,0.49,0.36,0.64,0.66,0.61
Bergen,0.92,0.9,0.88,0.94,0.66,0.47,0.72,0.65,0.68,0.78,0.7,0.71
Etne,0.94,0.76,0.52,0.94,0.64,0.37,0.74,0.46,0.45,0.61,0.53,0.59
Sveio,0.95,0.88,0.63,0.93,0.58,0.25,0.73,0.47,0.46,0.66,0.74,0.59
Bømlo,0.93,0.67,0.58,0.9,0.47,0.26,0.67,0.43,0.4,0.67,0.6,0.58
Stord,0.93,0.69,0.7,0.92,0.65,0.29,0.72,0.5,0.48,0.68,0.57,0.62
Fitjar,0.86,0.71,0.66,0.93,0.56,0.32,0.68,0.4,0.4,0.59,0.52,0.54
Tysnes,0.9,0.48,0.64,0.95,0.57,0.27,0.76,0.43,0.39,0.59,0.59,0.61
Kvinnherad,0.89,0.69,0.67,0.93,0.64,0.35,0.67,0.45,0.47,0.6,0.68,0.56
Jondal,0.95,0.71,0.55,0.9,0.68,0.3,0.83,0.38,0.39,0.53,0.93,0.59
Odda,0.88,0.67,0.68,0.97,0.66,0.33,0.69,0.42,0.4,0.57,0.81,0.61
Ullensvang,0.92,0.86,0.64,0.91,0.7,0.38,0.68,0.47,0.46,0.61,0.86,0.6
Eidfjord,0.98,0.82,0.67,0.97,0.66,0.37,0.89,0.37,0.46,0.54,0.9,0.69
Ulvik,0.93,0.94,0.74,1,0.76,0.41,0.65,0.5,0.56,0.63,0.89,0.71
Granvin,0.95,0.77,0.41,0.91,0.71,0.36,0.75,0.38,0.47,0.54,0.44,0.64
Voss,0.9,0.79,0.68,0.96,0.7,0.37,0.75,0.53,0.59,0.69,0.73,0.63
Kvam,0.88,0.74,0.68,0.94,0.64,0.4,0.72,0.52,0.49,0.61,0.68,0.65
Fusa,0.88,0.57,0.61,0.92,0.57,0.5,0.73,0.42,0.4,0.6,0.73,0.54
Samnanger,0.83,0.57,0.76,0.94,0.66,0.28,0.67,0.45,0.41,0.57,0.84,0.57
